iter	Logloss
0	0.6839151523
1	0.6766127593
2	0.6670167593
3	0.6593670472
4	0.6494354062
5	0.6432259286
6	0.6362738737
7	0.6272356735
8	0.6211640001
9	0.6120510625
10	0.6044142545
11	0.5988363447
12	0.5916931278
13	0.5839090482
14	0.5781846756
15	0.5706534045
16	0.5647149733
17	0.5572307472
18	0.552453347
19	0.5475727096
20	0.5411064663
21	0.5348922657
22	0.5299426464
23	0.5243402991
24	0.5189505178
25	0.5120654405
26	0.5072651161
27	0.5024701409
28	0.4964603808
29	0.4903869742
30	0.4847104808
31	0.4809553451
32	0.4754015701
33	0.4699312172
34	0.4645099971
35	0.4592261674
36	0.4542386604
37	0.4494277821
38	0.4463952091
39	0.4406181395
40	0.4377541005
41	0.4335765188
42	0.4292654623
43	0.425292433
44	0.421143478
45	0.4183914089
46	0.4158918999
47	0.4110445114
48	0.4079557411
49	0.4042836509
50	0.4012250824
51	0.3972037856
52	0.3941257964
53	0.3916979897
54	0.3887088794
55	0.3862438582
56	0.3825185972
57	0.3802298768
58	0.3774209566
59	0.3737945083
60	0.3709902654
61	0.3690457892
62	0.3672052776
63	0.3648775206
64	0.3619032733
65	0.358914039
66	0.357141385
67	0.3543175724
68	0.35137286
69	0.3480816053
70	0.3447438421
71	0.3430029312
72	0.3409402446
73	0.3385673852
74	0.3362313285
75	0.3336717874
76	0.3308671407
77	0.3281489968
78	0.3262583052
79	0.3240638183
80	0.321764588
81	0.3202598695
82	0.3181390689
83	0.3158435175
84	0.3142669079
85	0.3126263118
86	0.3107349372
87	0.3085596737
88	0.3061078446
89	0.3038850618
90	0.3025402304
91	0.3000267916
92	0.2985737872
93	0.2962730933
94	0.2942536624
95	0.2921302817
96	0.290205798
97	0.2883295996
98	0.2866139085
99	0.2854706048
100	0.2842701298
101	0.2829910484
102	0.2815115596
103	0.2802072321
104	0.2786078447
105	0.2773902585
106	0.2761921181
107	0.274737466
108	0.2729232232
109	0.2712966687
110	0.2699800242
111	0.2682927316
112	0.2664233148
113	0.2649319029
114	0.2630904899
115	0.2612220477
116	0.2601757074
117	0.258411862
118	0.2574906747
119	0.2563852008
120	0.2553895856
121	0.2538821891
122	0.2526128195
123	0.2516800457
124	0.2503845577
125	0.2490853247
126	0.2476503696
127	0.2460184327
128	0.24473573
129	0.2430329019
130	0.2419655268
131	0.2412329992
132	0.240310096
133	0.2388822132
134	0.2375849485
135	0.2365527452
136	0.2358579103
137	0.234810109
138	0.2339119542
139	0.2328720953
140	0.2314126558
141	0.2302052603
142	0.2288845358
